index,y
0,2780
1,-4285
2,3738
3,-3878
4,1825
5,571
6,-2329
7,3994
8,-7465
9,2716
10,4948
11,-5336
12,-2689
13,-3171
14,-1761
15,-658
16,655
17,-448
18,-751
19,2674
20,-1205
21,1387
22,4818
23,-6700
24,3957
25,293
26,1039
27,-4128
28,2094
29,-5240
30,5340
31,-6864
32,7992
33,-4487
34,-2880
35,2822
36,-2696
37,5871
38,-6
39,-2163
40,5429
41,-3568
42,2847
43,-2935
44,2109
45,-3211
46,-1662
47,1866
48,-99
49,-3158
50,2749
51,-1632
52,90
53,2093
54,-879
55,-262
56,1375
57,-137
58,929
59,4
60,929
61,128
62,1197
63,-3836
64,1731
65,424
66,-2670
67,1505
68,941
69,3240
70,-2592
71,1702
72,1521
73,-2580
74,-1353
75,-2426
76,-485
77,-1128
78,1833
79,397
80,-2094
81,144
82,-502
83,-25
84,443
85,266
86,606
87,170
88,507
89,510
90,55
91,-763
92,72
93,365
94,447
95,-19
96,-624
97,-78
98,-11
99,1811
100,-430
101,-709
102,2268
103,-1617
104,-1448
105,-3368
106,-731
107,-263
108,3362
109,3979
110,-406
111,56
112,603
113,-174
114,100
115,-3756
116,-2211
117,-887
118,2501
119,1830
120,1498
121,190
122,443
123,534
124,833
125,102
126,507
127,832
128,531
129,446
130,-340
131,17
132,986
133,277
134,-2558
135,-2899
136,-532
137,714
138,-159
139,169
140,3552
141,4296
142,3982
143,4030
144,-1592
145,-2614
146,-1018
147,-1394
148,-385
149,1622
150,1381
151,212
152,1362
153,1015
154,1767
155,2002
156,2053
157,1298
158,2531
159,2886
160,2277
161,1551
162,1621
163,862
164,179
165,-665
166,-545
167,-72
168,364
169,596
170,-136
171,-753
172,-457
173,-838
174,-587
175,-264
176,-222
177,-622
178,-526
179,-567
180,-390
181,-74
182,-1429
183,530
184,2813
185,898
186,-2466
187,-3539
188,-3893
189,-3129
190,-2625
191,-1549
192,-1245
193,787
194,-538
195,-721
196,154
197,473
198,6
199,-34
200,910
201,761
202,9
203,92
204,301
205,109
206,-177
207,-10
208,-59
209,277
210,-240
211,-440
212,-347
213,-311
214,-573
215,239
216,183
217,256
218,96
219,-242
220,93
221,-215
222,266
223,356
224,76
225,3
226,-81
227,-356
228,143
229,174
230,-38
231,262
232,294
233,278
234,242
235,170
236,-118
237,258
238,214
239,310
240,-355
241,178
242,809
243,-279
244,160
245,363
246,-170
247,188
248,-332
249,25
250,-1
251,329
252,439
253,148
254,-88
255,-23
